time,a,b,C,t,a_after,b_after
832,136.1,31,,832,136.1,31
833,136,31,,833,136,31
834,136,31,,834,136,31
835,135.7,31,,835,135.7,31
836,134.4,31,,836,134.4,31
837,136.1,31,,837,136.1,31
838,136,31,,838,136,31
839,135.6,31,,839,135.6,31
840,136,31,,840,136,31
841,134.8,31.08,,841,134.8,31.08
842,135,31,,842,135,31
843,135,31,,843,135,31
844,136.6,31,,844,136.6,31
845,135.7,31.1,,845,135.7,31.1
846,135.2,30.22,,846,135.2,30.22
847,135,29.71,,847,135,29.71
848,129.9,29.07,,848,129.9,29.07
849,127,28.68,,849,127,28.68
850,121.5,28.36,,850,121.5,28.36
851,122,28,,851,122,28
852,122,28,,852,122,28
853,122,28,,853,122,28
854,112.3,27.52,,854,112.3,27.52
855,111.3,28,,855,111.3,28
856,111,28,,856,111,28
857,110.1,28,,857,110.1,28
858,110,28,,858,110,28
859,110.1,27.33,,859,110.1,27.33
860,109.2,27,,860,109.2,27
861,109,27,,861,109,27
862,109,27,,862,109,27
863,108.5,27,,863,108.5,27
864,107.6,27,,864,107.6,27
865,107.2,27.31,,865,107.2,27.31
866,107.3,27.33,,866,107.3,27.33
867,108,27.31,,867,108,27.31
868,108.5,27,,868,108.5,27
869,107.8,27,,869,107.8,27
870,108,27,,870,108,27
871,108,27,,871,108,27
872,108.8,27,,872,108.8,27
873,108.3,27,,873,108.3,27
874,108.6,27,,874,108.6,27
875,107.3,27,,875,107.3,27
876,107.6,27,,876,107.6,27
877,107.3,27,,877,107.3,27
878,108.3,27,,878,108.3,27
